id,center/lat,center/lon,tags/landuse,tags/name,locations
370311642,41.5186315,22.0457455,Vineyard,Vineyard Surface,"Crveni Bregovi, Municipality of Negotino, Vardar Region, 1440, North Macedonia"
370311643,41.5065738,22.0463272,Vineyard,Vineyard Surface,"Sopot, Municipality of Kavadarci, Vardar Region, 1440, North Macedonia"
370311644,41.5104845,22.0605268,Vineyard,Vineyard Surface,"Negotino, Municipality of Negotino, Vardar Region, 1440, North Macedonia"
370311645,41.5200335,22.0454274,Vineyard,Vineyard Surface,"Crveni Bregovi, Municipality of Negotino, Vardar Region, 1440, North Macedonia"
370311646,41.5194074,22.0443254,Vineyard,Vineyard Surface,"Crveni Bregovi, Municipality of Negotino, Vardar Region, 1440, North Macedonia"
370311647,41.5180742,22.0418532,Vineyard,Vineyard Surface,"Crveni Bregovi, Municipality of Negotino, Vardar Region, 1440, North Macedonia"
370311648,41.5214833,22.0375581,Vineyard,Vineyard Surface,"Crveni Bregovi, Municipality of Negotino, Vardar Region, 1440, North Macedonia"
370311649,41.5190745,22.031386,Vineyard,Vineyard Surface,"Kurija, Municipality of Negotino, Vardar Region, 1440, North Macedonia"
375220512,41.6321773,22.3862763,Vineyard,Vineyard Surface,"A4, Prnalija, Topolnica, Municipality of Radovish, Southeastern Region, North Macedonia"
379901317,42.0072611,21.489788,Vineyard,Vineyard Surface,"Товарник 1, Chento, Gazi Baba, Skopje, Municipality of Gazi Baba, City of Skopje, Skopje Region, 1001, North Macedonia"
405707553,41.1299821,22.5250077,Vineyard,Vineyard Surface,"Gevgelija, Municipality of Gevgelija, Southeastern Region, 1480, North Macedonia"
405707981,41.1283944,22.511262,Vineyard,Vineyard Surface,"Ειδομένη, Municipality of Paionia, Kilkis Regional Unit, Central Macedonia, Macedonia and Thrace, 610 05, Greece"
405708756,41.1270297,22.5039976,Vineyard,Vineyard Surface,"Ειδομένη, Municipality of Paionia, Kilkis Regional Unit, Central Macedonia, Macedonia and Thrace, 610 05, Greece"
405709490,41.130015,22.5104758,Vineyard,Vineyard Surface,"Vinojug Reception facility, Мечкин Камен, Gevgelija, Municipality of Gevgelija, Southeastern Region, 1480, North Macedonia"
405709614,41.1301855,22.5060989,Vineyard,Vineyard Surface,"Солунска, Gevgelija, Municipality of Gevgelija, Southeastern Region, 1480, North Macedonia"
405709615,41.131127,22.507452,Vineyard,Vineyard Surface,"Сараевска, Gevgelija, Municipality of Gevgelija, Southeastern Region, 1480, North Macedonia"
421883961,41.1216991,22.4655792,Vineyard,Vineyard Surface,"Moin, Municipality of Gevgelija, Southeastern Region, North Macedonia"
423910443,41.7870563,21.7352284,Vineyard,Vineyard Surface,"Friendship, Novachani, Municipality of Veles, Vardar Region, North Macedonia"
435999616,42.2131401,21.7279627,Vineyard,Vineyard Surface,"Starchani, Tabanovce, Municipality of Kumanovo, Northeastern Region, North Macedonia"
445156707,41.7280374,22.1931758,Vineyard,Vineyard Surface,"Личка, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
445507686,41.7271619,22.1921318,Vineyard,Vineyard Surface,"Димо Хаџидимов, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
446057580,41.7413104,22.1780822,Vineyard,Vineyard Surface,"Prebeg, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
446110606,41.7614938,22.1673752,Vineyard,Vineyard Surface,"Zheleznichka, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
452655182,41.9906241,21.0110192,Vineyard,Vineyard Surface,"TIDZ Tetovo, Sarakjino, Municipality of Tetovo, Polog Region, 1216, North Macedonia"
452667314,41.9881901,21.0286207,Vineyard,Vineyard Surface,"R1206, TIDZ Tetovo, Sarakjino, Municipality of Tetovo, Polog Region, 1216, North Macedonia"
452829906,41.9875859,21.030035,Vineyard,Vineyard Surface,"Sarakjino, Municipality of Tetovo, Polog Region, North Macedonia"
478117199,41.7290381,22.1970594,Vineyard,Vineyard Surface,"Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117200,41.7282723,22.19702,Vineyard,Vineyard Surface,"Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117201,41.7274145,22.1965701,Vineyard,Vineyard Surface,"Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117202,41.7270381,22.196051,Vineyard,Vineyard Surface,"Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117203,41.7267975,22.1956191,Vineyard,Vineyard Surface,"Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117204,41.7286027,22.1887898,Vineyard,Vineyard Surface,"Димо Хаџидимов, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117206,41.7279537,22.1891868,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117207,41.7277237,22.1896042,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117208,41.7274617,22.1901149,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117209,41.7272784,22.1904728,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117210,41.7269935,22.1903157,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117213,41.7296703,22.194563,Vineyard,Vineyard Surface,"Личка, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117214,41.7290199,22.1946973,Vineyard,Vineyard Surface,"Личка, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117215,41.7251669,22.1942502,Vineyard,Vineyard Surface,"Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478117216,41.725377,22.1946527,Vineyard,Vineyard Surface,"Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120708,41.7309206,22.1855282,Vineyard,Vineyard Surface,"Nikola Karev, Ново Село, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120709,41.729915,22.1860493,Winery,Љуботенско Лојзе,"Nikola Karev, Ново Село, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120710,41.7273309,22.1873001,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120711,41.7270389,22.1868168,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120712,41.7269553,22.1873896,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120713,41.7263408,22.1899305,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120714,41.7263735,22.1907688,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120715,41.726558,22.1905858,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120716,41.7260759,22.1903128,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120717,41.7259042,22.1906182,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120718,41.7257271,22.190876,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120719,41.7257796,22.1916442,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120721,41.7258406,22.1921016,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120722,41.7253353,22.1922156,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120723,41.7249099,22.1919418,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120724,41.7244925,22.1921069,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120725,41.7241281,22.1920177,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120726,41.7253393,22.1888771,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120727,41.724839,22.1889552,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120728,41.7250759,22.1904113,Winery,Lojzeto na Kacamako,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120729,41.7253314,22.1901,Winery,Ljubotenski Vineyards,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120730,41.7251531,22.1896685,Winery,Ljubotenski Vineyards,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120731,41.7247,22.1898371,Winery,Na Branko Lojzeto,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120732,41.7243081,22.1912239,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120733,41.7246254,22.1914571,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120734,41.7249461,22.1914811,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120735,41.7240388,22.1897957,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120736,41.7245158,22.1905169,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120737,41.7238112,22.1915685,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120738,41.7238536,22.1923404,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120739,41.72354,22.1928494,Vineyard,Vineyard Surface,"Клисебаир, Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120740,41.723107,22.1932164,Vineyard,Vineyard Surface,"Клисебаир, Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120741,41.7233266,22.1917892,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120742,41.7230098,22.1915332,Vineyard,Vineyard Surface,"Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120743,41.7227513,22.1916924,Vineyard,Vineyard Surface,"Клисебаир, Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
478120744,41.7223269,22.1918482,Vineyard,Vineyard Surface,"Клисебаир, Пато за Курт Бунар, Кежовица, Ново Село, Shtip, Municipality of Shtip, Eastern Region, 2000, North Macedonia"
